Comments,Product_Name,Rating_Score
This sunscreen doesnt even feel like sunscreen It feels like good moisturizer Really good protection UVA UVB completely absorbs white cast,Aloe Soothing Sun Cream  SPF50+/ PA+++,5.0
This first product I bought brand I always repurchase It soothing hydrating doesnt feel heavy even reapplying I oily skin I use sunscreen without moisturizer summers moisturizer winters,Aloe Soothing Sun Cream  SPF50+/ PA+++,5.0
I really love product I put actives thin moisturizer lock everything like leavein conditioner skin,Ultimate Nourishing Rice Overnight Spa Mask,5.0
This special product I avoid skincare protein due allergies This celiac safe,Ultimate Nourishing Rice Overnight Spa Mask,5.0
Like thick cream makes skin look super hydrated cushiony morning,Ultimate Nourishing Rice Overnight Spa Mask,5.0
This makes skin feel softer right amount moisture Recommended daughter received positive feedback friends complexion bright smooth quality,Ultimate Nourishing Rice Overnight Spa Mask,5.0
Absolutely love product great dry sensitive skin nice thin texture This wonderful rescue mask mistreating skin,Ultimate Nourishing Rice Overnight Spa Mask,5.0
This toner one favorite toners used used pretty much routine I given day I use morning night routinely,Centella Water Alcohol-Free Toner,5.0
It definitely calms redness little bit applying,Centella Water Alcohol-Free Toner,5.0
Its good basic toner oily acne skin days,Centella Water Alcohol-Free Toner,5.0
This favorite toner ive ever used Ive looking good toner forever first one genuinley love Its light enough put routine super refreshing first step I also love spray dont use toner pads anything like easy travel definitely one new staples highly highly recommend,Centella Water Alcohol-Free Toner,5.0
I use toner morning night It gift skin I use serumsessences James Walsh introduced I bottle I highly recommend Adds moisture helps products glide Love,Centella Water Alcohol-Free Toner,5.0
I still didnt get itthanks,Full fit Propolis Light Ampoule,5.0
This Holy Grail Keeps face moisturized glowing My first bottle received allure beauty box I repurchased times Let absorb add moisturizer times mix dont enough time,Full fit Propolis Light Ampoule,5.0
Made skin look glowing going buy full size,Full fit Propolis Light Ampoule,5.0
This serum favorite part morning skincare I eczema driest face This serum keeps skin hydrated moist day lotion placed I try lotion goes collection Im excited,Full fit Propolis Light Ampoule,5.0
I like serum lightly hydrating also soothing Can use anytime,Full fit Propolis Light Ampoule,4.0
Good exfoliation almost none irritation,BHA Blackhead Power Liquid,5.0
said best I use days I use retinoid It gets ride black heads closed comedones forehead fyi get rid sebaceous filaments need AHA sorry folks,BHA Blackhead Power Liquid,5.0
I struggled blackheads entire life Nothing works Ive using stuff month I starting see progress My pores looking smaller blackheads starting get less less I high hopes I continue use product go away completely,BHA Blackhead Power Liquid,5.0
This product exfoliates doesnt leave skin raw After years damaging face horrible American drugstore skincare acne skin cannot take beatings anymore I even used lowest concentrations salicylic acid lightly exfoliate nothing burn skin leave strange flakes I couldnt even apply unscented cream without face feeling like stung bee This blackhead liquid almost like made dirt fizzle pores I slightly larger pores average due years damage I live hot weather hormonal acne mostly clear large pores make easy get clogged I dont wear makeup skin eyeshadow mascara This liquid keeps pores clean theyre large I see theyre obviously darkened keeps clean I dont need scrub face hard I pat times week cleansing I dont strange bumps skin clogged pores,BHA Blackhead Power Liquid,5.0
I definitely getting less spots face since using tandem AHA power liquid My skin texture also improving take long first use see improvement I didnt purge much using I think I recently purged using AHA BHA Vitamin C toner It also nice light texture settles skin relatively quickly I didnt experience much irritation first use I definitely buying,BHA Blackhead Power Liquid,5.0
I put spots,Centella Blemish Cream,5.0
I struggling acne years already I decided try cream I read worked blemishes whole combo Due acne skin always irritated cream calms skin diminishes swollen pimples reduces redness speeds healing process I love much Im third jar already btw even though small really lasts,Centella Blemish Cream,5.0
It works really well blemish I would recommend use night time,Centella Blemish Cream,5.0
I woman early By age common aging spots quite lot face My daughter recommended product I glad I applied thinly affected areas morning night month The two big dark spots cheek years gotten much lighter little spots There tiny spot hand I noticed quite recently gone completely I cannot show others say I one hand Wish I taken pictures I show difference I didnt expect would work well If started noticing dark spot due much sun exposure I strongly recommend use product little bit every day,Centella Blemish Cream,5.0
This little tub saved skin many times I lost count Not lasts ages transforms blemishes nothingness matter night I praise little miracle cream enough fan,Centella Blemish Cream,5.0
This included night routine Leaves skin feeling soft afterwards takes dead skin,Low pH Goodnight Soft Peeling Gel,5.0
I like skin feels using I use snail mucin cleanser use one leaves skin feeling soft without stripping feeling My skin mix sensitive perfect,Low pH Goodnight Soft Peeling Gel,5.0
I bought cleanser use last night My first impression leaves skin feeling soft yes agree reviews need follow skincare routine dry better results The way I use usual daily cleanser cosrx peeling cleanser toner serum moisturiser,Low pH Goodnight Soft Peeling Gel,5.0
Ive tried different soft peeling gel although expensive results immediately visible I quite satisfied However although similar product much affordable I couldnt really tell works even using times I love COSRX product disappointed,Low pH Goodnight Soft Peeling Gel,3.0
At first I skeptical peeling gel gentle Too gentle But wait Does anyone else wake occasional dry patchesflakey areas Im alone Contrary name I found mild exfoliants effective purpose AM much retinol zit cream leaving skin smoother hydrated red Its wonderful product Adjust expectations try already,Low pH Goodnight Soft Peeling Gel,5.0

